region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,voltage_level,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,ids,HEAT,TRADER,NACC,Commit,Hydro_level,ESR_3,ESR_4,ESR_5,ESR_6,CapRes_3,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,MinCapTag_10,MinCapTag_11,MinCapTag_12,MinCapTag_13
NENG_Rest,NENG_Rest_nuclear_1,Nuclear,1,11,1,0,0.93,0.0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3355.5,0.0,3.0,3355.5,0,1118.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,253085,0.0,0,0,2.84,0.0,0.0,0.0,280.0,0.0,10.44,0.0,0.0,trans,new_england_uranium,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,Offshore Wind Turbine,1,12,1,0,0.8,0.0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,29.3,0.0,1.0,29.3,0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,111496,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,Onshore Wind Turbine,1,13,1,1,0.8,0.0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1549.1,0.0,85.0,1549.125,0,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43000,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
NENG_Rest,NENG_Rest_small_hydroelectric_1,Small Hydroelectric,1,14,1,0,0.0,0.0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,368.6,0.0,443.0,892.202,-1,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.232,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_solar_photovoltaic_1,Solar Photovoltaic,1,15,1,1,0.8,0.0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,2658.5,0.0,734.0,2658.548,0,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22623,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
NY_Z_A,NY_Z_A_biomass_1,Biomass,1,16,2,0,0.0,0.93,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,24.5,0.0,26.0,64.012,-1,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,5.11,0.0,0.0,0.0,0.0,0.0,11.9,1.819,0.981,trans,None,0.347,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1,17,2,0,0.0,0.8,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,2434.9,0.0,13.0,2434.9,-1,187.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.005,0.0,1.0,1.0,1.2517702283104575,1.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,18,2,0,0.0,0.95,0,0,0,1,0,0,0,0,0,0.0,0.0,3720.0,240.0,0.0,12.0,240.0,-1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.05,0.0,0.866,0.866,0.0,0.0063,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,19,2,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,444.8,0.0,4.0,444.8,0,111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18649,0.0,0,0,5.15,0.0,0.0,0.0,104.0,2.0,9.08,0.649,1.012,trans,middle_atlantic_naturalgas,0.561,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,20,2,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,47.0,0.0,1.0,47.0,0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15769,0.0,0,0,5.97,0.0,0.0,0.0,135.0,3.5,10.1,0.0,0.0,trans,middle_atlantic_naturalgas,0.191,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
