Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,110,637.0,71071.0,3221.0
,,,,,,,,111,637.0,71095.0,3222.0
,,,,,,,,112,628.0,70094.0,3176.0
,,,,,,,,113,599.0,66924.0,3032.0
,,,,,,,,114,563.0,62888.0,2849.0
,,,,,,,,115,545.0,60871.0,2758.0
,,,,,,,,116,507.0,56631.0,2566.0
,,,,,,,,117,463.0,51717.0,2343.0
,,,,,,,,118,428.0,47829.0,2167.0
,,,,,,,,119,403.0,45054.0,2041.0
,,,,,,,,120,387.0,43168.0,1956.0
,,,,,,,,121,299.0,33414.0,1514.0
,,,,,,,,122,301.0,33672.0,1526.0
,,,,,,,,123,311.0,34769.0,1576.0
,,,,,,,,124,339.0,37913.0,1718.0
,,,,,,,,125,382.0,42674.0,1934.0
,,,,,,,,126,396.0,44247.0,2005.0
,,,,,,,,127,392.0,43775.0,1983.0
,,,,,,,,128,387.0,43210.0,1958.0
,,,,,,,,129,383.0,42784.0,1939.0
,,,,,,,,130,380.0,42395.0,1921.0
,,,,,,,,131,376.0,41954.0,1901.0
,,,,,,,,132,375.0,41853.0,1896.0
,,,,,,,,133,374.0,41793.0,1894.0
,,,,,,,,134,378.0,42218.0,1913.0
,,,,,,,,135,387.0,43209.0,1958.0
,,,,,,,,136,406.0,45309.0,2053.0
,,,,,,,,137,411.0,45894.0,2079.0
,,,,,,,,138,390.0,43546.0,1973.0
,,,,,,,,139,379.0,42377.0,1920.0
,,,,,,,,140,366.0,40916.0,1854.0
,,,,,,,,141,349.0,38989.0,1767.0
,,,,,,,,142,331.0,37003.0,1677.0
,,,,,,,,143,321.0,35884.0,1626.0
,,,,,,,,144,312.0,34851.0,1579.0
,,,,,,,,145,309.0,34541.0,1565.0
,,,,,,,,146,311.0,34707.0,1573.0
,,,,,,,,147,315.0,35242.0,1597.0
,,,,,,,,148,329.0,36787.0,1667.0
,,,,,,,,149,348.0,38863.0,1761.0
,,,,,,,,150,363.0,40496.0,1835.0
,,,,,,,,151,372.0,41497.0,1880.0
,,,,,,,,152,373.0,41700.0,1889.0
,,,,,,,,153,370.0,41352.0,1874.0
,,,,,,,,154,367.0,40965.0,1856.0
,,,,,,,,155,364.0,40699.0,1844.0
,,,,,,,,156,360.0,40176.0,1820.0
,,,,,,,,157,355.0,39676.0,1798.0
,,,,,,,,158,355.0,39690.0,1798.0
,,,,,,,,159,359.0,40106.0,1817.0
,,,,,,,,160,372.0,41500.0,1880.0
,,,,,,,,161,395.0,44092.0,1998.0
,,,,,,,,162,392.0,43743.0,1982.0
,,,,,,,,163,384.0,42894.0,1944.0
,,,,,,,,164,370.0,41365.0,1874.0
,,,,,,,,165,353.0,39410.0,1786.0
,,,,,,,,166,332.0,37052.0,1679.0
,,,,,,,,167,314.0,35043.0,1588.0
,,,,,,,,168,302.0,33786.0,1531.0
,,,,,,,,169,298.0,33312.0,1509.0
,,,,,,,,170,297.0,33220.0,1505.0
,,,,,,,,171,300.0,33479.0,1517.0
,,,,,,,,172,308.0,34440.0,1561.0
,,,,,,,,173,320.0,35743.0,1620.0
,,,,,,,,174,329.0,36794.0,1667.0
,,,,,,,,175,340.0,38029.0,1723.0
,,,,,,,,176,346.0,38686.0,1753.0
,,,,,,,,177,348.0,38829.0,1759.0
,,,,,,,,178,349.0,38996.0,1767.0
,,,,,,,,179,354.0,39558.0,1792.0
,,,,,,,,180,354.0,39527.0,1791.0
,,,,,,,,181,351.0,39222.0,1777.0
,,,,,,,,182,352.0,39336.0,1782.0
,,,,,,,,183,360.0,40216.0,1822.0
,,,,,,,,184,376.0,41989.0,1903.0
,,,,,,,,185,400.0,44674.0,2024.0
,,,,,,,,186,397.0,44320.0,2008.0
,,,,,,,,187,385.0,42945.0,1946.0
,,,,,,,,188,367.0,40961.0,1856.0
,,,,,,,,189,343.0,38265.0,1734.0
,,,,,,,,190,314.0,35107.0,1591.0
,,,,,,,,191,289.0,32261.0,1462.0
,,,,,,,,192,279.0,31184.0,1413.0
,,,,,,,,193,275.0,30729.0,1392.0
,,,,,,,,194,275.0,30760.0,1394.0
,,,,,,,,195,282.0,31549.0,1430.0
,,,,,,,,196,306.0,34156.0,1548.0
,,,,,,,,197,339.0,37884.0,1717.0
,,,,,,,,198,356.0,39762.0,1802.0
,,,,,,,,199,363.0,40571.0,1838.0
,,,,,,,,200,368.0,41079.0,1861.0
,,,,,,,,201,373.0,41644.0,1887.0
,,,,,,,,202,376.0,42043.0,1905.0
,,,,,,,,203,379.0,42335.0,1918.0
,,,,,,,,204,381.0,42592.0,1930.0
,,,,,,,,205,384.0,42858.0,1942.0
,,,,,,,,206,390.0,43517.0,1972.0
,,,,,,,,207,398.0,44436.0,2013.0
,,,,,,,,208,417.0,46607.0,2112.0
,,,,,,,,209,422.0,47172.0,2137.0
,,,,,,,,210,401.0,44733.0,2027.0
,,,,,,,,211,385.0,42969.0,1947.0
,,,,,,,,212,366.0,40868.0,1852.0
,,,,,,,,213,338.0,37795.0,1713.0
,,,,,,,,214,312.0,34806.0,1577.0
,,,,,,,,215,292.0,32639.0,1479.0
,,,,,,,,216,281.0,31427.0,1424.0
,,,,,,,,217,276.0,30821.0,1397.0
,,,,,,,,218,275.0,30767.0,1394.0
,,,,,,,,219,282.0,31479.0,1426.0
,,,,,,,,220,303.0,33862.0,1534.0
,,,,,,,,221,336.0,37490.0,1699.0
,,,,,,,,222,353.0,39389.0,1785.0
,,,,,,,,223,361.0,40273.0,1825.0
,,,,,,,,224,366.0,40889.0,1853.0
,,,,,,,,225,375.0,41883.0,1898.0
,,,,,,,,226,383.0,42802.0,1939.0
,,,,,,,,227,390.0,43601.0,1976.0
,,,,,,,,228,398.0,44474.0,2015.0
,,,,,,,,229,405.0,45245.0,2050.0
,,,,,,,,230,415.0,46339.0,2100.0
,,,,,,,,231,421.0,47034.0,2131.0
,,,,,,,,232,432.0,48286.0,2188.0
,,,,,,,,233,431.0,48154.0,2182.0
,,,,,,,,234,405.0,45237.0,2050.0
,,,,,,,,235,389.0,43427.0,1968.0
,,,,,,,,236,369.0,41224.0,1868.0
,,,,,,,,237,343.0,38260.0,1734.0
,,,,,,,,238,316.0,35266.0,1598.0
,,,,,,,,239,295.0,32976.0,1494.0
