Time_Index,None,pacific_naturalgas,rockies_coal,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs100,rockies_naturalgas_ccs100
395,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
396,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
397,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
398,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
399,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
400,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
401,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
402,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
403,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
404,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
405,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
406,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
407,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
408,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
409,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
410,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
411,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
412,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
413,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
414,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
415,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
416,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
417,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
418,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
419,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
420,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
421,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
422,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
423,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
424,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
425,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
426,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
427,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
428,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
429,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
430,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
431,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
432,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
433,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
434,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
435,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
436,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
437,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
438,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
439,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
440,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
441,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
442,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
443,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
444,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
445,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
446,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
447,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
448,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
449,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
450,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
451,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
452,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
453,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
454,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
455,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
456,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
457,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
458,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
459,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
460,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
461,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
462,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
463,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
464,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
465,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
466,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
467,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
468,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
469,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
470,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
471,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
472,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
473,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
474,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
475,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
476,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
477,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
478,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
479,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
480,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
