Time_Index,None,pacific_naturalgas,rockies_coal,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs100,rockies_naturalgas_ccs100
91,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
92,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
93,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
94,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
95,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
96,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
97,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
98,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
99,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
100,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
101,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
102,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
103,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
104,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
105,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
106,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
107,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
108,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
109,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
110,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
111,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
112,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
113,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
114,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
115,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
116,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
117,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
118,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
119,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
120,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
121,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
122,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
123,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
124,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
125,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
126,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
127,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
128,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
129,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
130,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
131,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
132,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
133,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
134,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
135,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
