Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,76,9566.0,14890.0,8875.0,16833.0,14895.0,9456.0
,,,,,,,,77,9674.0,15050.0,9132.0,17072.0,15311.0,9855.0
,,,,,,,,78,10147.0,15785.0,9609.0,17359.0,16285.0,10223.0
,,,,,,,,79,10786.0,16790.0,10189.0,18750.0,17825.0,10821.0
,,,,,,,,80,11751.0,18299.0,10794.0,20399.0,19320.0,11164.0
,,,,,,,,81,12467.0,19414.0,11362.0,21675.0,20131.0,11451.0
,,,,,,,,82,13016.0,20269.0,11800.0,22883.0,20691.0,12168.0
,,,,,,,,83,13697.0,21329.0,12321.0,24380.0,21181.0,12743.0
,,,,,,,,84,14308.0,22284.0,12753.0,25537.0,21702.0,13056.0
,,,,,,,,85,14635.0,22796.0,13117.0,26352.0,21993.0,13127.0
,,,,,,,,86,14824.0,23090.0,12923.0,25857.0,21995.0,12703.0
,,,,,,,,87,12018.0,18689.0,12836.0,25860.0,21161.0,12215.0
,,,,,,,,88,12406.0,19298.0,13093.0,26305.0,21842.0,12379.0
,,,,,,,,89,12979.0,20201.0,13207.0,26428.0,22536.0,12881.0
,,,,,,,,90,13090.0,20387.0,13131.0,25759.0,22885.0,12032.0
,,,,,,,,91,11806.0,18386.0,12357.0,24060.0,21569.0,11500.0
,,,,,,,,92,10390.0,16175.0,11535.0,22453.0,19751.0,11644.0
,,,,,,,,93,10154.0,15808.0,10849.0,20784.0,19094.0,11386.0
,,,,,,,,94,8652.0,13459.0,10067.0,19704.0,17691.0,10666.0
,,,,,,,,95,7563.0,11757.0,9193.0,18388.0,16087.0,9873.0
,,,,,,,,96,6840.0,10622.0,8718.0,17456.0,14760.0,9896.0
,,,,,,,,97,7178.0,11109.0,8635.0,17313.0,14165.0,9577.0
,,,,,,,,98,8231.0,12759.0,8531.0,17148.0,13819.0,9509.0
,,,,,,,,99,9709.0,15069.0,8510.0,16886.0,14244.0,9307.0
,,,,,,,,100,9473.0,14693.0,8426.0,16654.0,14216.0,9106.0
,,,,,,,,101,9331.0,14464.0,8359.0,16474.0,14129.0,9190.0
,,,,,,,,102,9548.0,14797.0,8532.0,16191.0,14405.0,9274.0
,,,,,,,,103,9630.0,14931.0,8972.0,16851.0,15244.0,9438.0
,,,,,,,,104,10066.0,15619.0,9594.0,18167.0,16408.0,9920.0
,,,,,,,,105,10746.0,16682.0,10373.0,19731.0,17726.0,10700.0
,,,,,,,,106,11765.0,18279.0,11054.0,21134.0,19003.0,11302.0
,,,,,,,,107,12625.0,19624.0,11616.0,22341.0,19860.0,11898.0
,,,,,,,,108,13405.0,20843.0,12122.0,23488.0,20510.0,12331.0
,,,,,,,,109,14012.0,21795.0,12564.0,24309.0,21072.0,12675.0
,,,,,,,,110,14225.0,22121.0,12494.0,24189.0,21142.0,12698.0
,,,,,,,,111,11168.0,17323.0,12240.0,23684.0,20165.0,12492.0
,,,,,,,,112,11363.0,17631.0,12385.0,23649.0,20242.0,12473.0
,,,,,,,,113,11685.0,18137.0,12436.0,23015.0,20659.0,12018.0
,,,,,,,,114,11410.0,17712.0,12174.0,22068.0,20467.0,12001.0
,,,,,,,,115,11404.0,17705.0,12006.0,21775.0,20632.0,11897.0
,,,,,,,,116,11034.0,17130.0,11804.0,20810.0,20343.0,12082.0
,,,,,,,,117,10742.0,16671.0,11003.0,19484.0,19509.0,11286.0
,,,,,,,,118,9199.0,14258.0,10316.0,18903.0,18144.0,10585.0
,,,,,,,,119,8107.0,12555.0,9514.0,17745.0,16549.0,10614.0
,,,,,,,,120,7247.0,11216.0,9010.0,17035.0,15020.0,9925.0
,,,,,,,,121,9591.0,14933.0,7341.0,12347.0,14332.0,8117.0
,,,,,,,,122,9329.0,14522.0,7224.0,12130.0,14051.0,8018.0
,,,,,,,,123,9226.0,14362.0,7212.0,12176.0,13952.0,8195.0
,,,,,,,,124,9490.0,14770.0,7462.0,12764.0,14458.0,8376.0
,,,,,,,,125,9802.0,15255.0,7972.0,13406.0,15546.0,8823.0
,,,,,,,,126,10578.0,16465.0,8925.0,14445.0,17738.0,9613.0
,,,,,,,,127,12225.0,19045.0,9636.0,14880.0,20046.0,10020.0
,,,,,,,,128,12689.0,19773.0,9878.0,15207.0,20905.0,10017.0
,,,,,,,,129,12647.0,19699.0,9860.0,15420.0,20618.0,9970.0
,,,,,,,,130,12625.0,19654.0,9794.0,15953.0,20169.0,10140.0
,,,,,,,,131,12884.0,20053.0,9820.0,16312.0,19985.0,10209.0
,,,,,,,,132,13055.0,20320.0,9855.0,16815.0,19834.0,10347.0
,,,,,,,,133,13173.0,20504.0,9876.0,17191.0,19828.0,10469.0
,,,,,,,,134,13280.0,20667.0,9788.0,17036.0,19511.0,10500.0
,,,,,,,,135,12407.0,19300.0,9736.0,16462.0,19484.0,10735.0
,,,,,,,,136,11942.0,18572.0,9734.0,16350.0,19920.0,10840.0
,,,,,,,,137,12281.0,19116.0,10148.0,16725.0,20709.0,11151.0
,,,,,,,,138,11943.0,18602.0,10487.0,16979.0,22065.0,11090.0
,,,,,,,,139,11760.0,18319.0,10141.0,15917.0,21666.0,10207.0
,,,,,,,,140,11147.0,17360.0,9438.0,14421.0,20120.0,9768.0
