Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,9000.0,5019.935079612765,304322.33884524903,0.03875053902114579
1.0,2.0,9000.0,6764.56073541371,613361.1874888225,0.07810164945508072
1.0,3.0,9000.0,4380.596036667747,193353.9286046426,0.024620502667390732
1.0,4.0,9000.0,4418.197798911805,101618.54937497151,0.012939482450644087
1.0,5.0,9000.0,10067.421038154913,472704.0252039564,0.060191229614048304
1.0,6.0,9000.0,1837.2896682746214,32887.29796343038,0.004187666695345696
2.0,1.0,603.0,1074.5249999999999,599160.4861001724,0.07629341928907785
2.0,2.0,603.0,1498.05,737149.4226771763,0.09386408364320756
2.0,3.0,603.0,1037.0249999999999,130573.32175293495,0.016626405471603194
2.0,4.0,603.0,1553.7749999999999,319580.26205384947,0.04069338932559608
2.0,5.0,603.0,2176.95,1.3101979343483252e6,0.1668325643560688
2.0,6.0,603.0,982.8,103131.3496985918,0.013132113159891693
