cpa_id,cluster
5063,1
5064,1
5065,1
5070,1
5071,1
5072,1
5073,1
5080,1
5086,1
5087,1
1197,1
1198,1
1199,1
1200,1
1201,1
4979,1
4982,1
4988,1
4989,1
4992,1
4998,1
4999,1
5002,1
5005,1
5009,1
5010,1
5013,1
5014,1
5017,1
5018,1
5021,1
5026,1
5027,1
5028,1
5030,1
5031,1
5032,1
5034,1
5045,1
5046,1
4541,1
4548,1
4577,1
4662,1
4686,1
4704,1
4718,1
4725,1
4730,1
4731,1
4737,1
4740,1
4741,1
4747,1
4778,1
4799,1
4800,1
4801,1
4813,1
4778,1
4799,1
4800,1
4801,1
4807,1
4808,1
4810,1
4812,1
4813,1
4818,1
4820,1
4821,1
4822,1
4827,1
4828,1
4830,1
4831,1
4842,1
4843,1
4844,1
4845,1
4851,1
4852,1
4853,1
4854,1
4855,1
4860,1
4861,1
4862,1
4865,1
4866,1
4867,1
4868,1
4869,1
4870,1
4871,1
4872,1
4873,1
4874,1
4875,1
4878,1
4882,1
4883,1
4884,1
4885,1
4886,1
4887,1
4888,1
4889,1
4890,1
4891,1
4892,1
4893,1
4895,1
4896,1
4897,1
4899,1
4903,1
4894,1
4898,1
4900,1
4901,1
4902,1
4904,1
4905,1
4906,1
4907,1
4908,1
4909,1
4910,1
4911,1
4912,1
4913,1
4914,1
4917,1
4918,1
4919,1
4920,1
4922,1
4924,1
4925,1
4926,1
4927,1
4928,1
4931,1
4932,1
4933,1
4934,1
4935,1
4936,1
4941,1
4942,1
4943,1
4944,1
4945,1
4947,1
4948,1
4949,1
4953,1
4954,1
4955,1
4956,1
4961,1
4962,1
4963,1
4964,1
4970,1
4976,1
5054,1
5060,1
5061,1
5062,1
5069,1
4441,2
4454,2
4465,2
4466,2
4467,2
4476,2
4477,2
4487,2
4488,2
4489,2
4490,2
4497,2
4498,2
4499,2
4500,2
4509,2
4515,2
4516,2
4517,2
4518,2
4519,2
4520,2
4524,2
4525,2
4526,2
4527,2
4532,2
4533,2
4534,2
4535,2
4538,2
4539,2
4540,2
4546,2
4547,2
4554,2
4560,2
4561,2
4569,2
4570,2
4571,2
4578,2
4579,2
4589,2
4590,2
4597,2
4598,2
4599,2
4609,2
4616,2
4625,2
4632,2
4641,2
4632,2
4641,2
4651,2
4652,2
4653,2
4659,2
4660,2
4661,2
4671,2
4672,2
4673,2
4674,2
4681,2
4682,2
4683,2
4684,2
4685,2
4692,2
4693,2
4694,2
4695,2
4700,2
4701,2
4702,2
4703,2
4705,2
4709,2
4710,2
4711,2
4712,2
4713,2
4716,2
4717,2
4722,2
4723,2
4724,2
4727,2
4728,2
4729,2
4732,2
4738,2
4739,2
4748,2
4749,2
4761,2
4765,2
4790,2
4791,2
4798,2
4789,2
4790,2
4791,2
4796,2
4797,2
4798,2
4805,2
4806,2
4809,2
4811,2
4817,2
4819,2
4826,2
4829,2
4834,2
4835,2
4836,2
4837,2
4840,2
4841,2
4850,2
4858,2
4859,2
4876,2
4877,2
4880,2
4881,2
