region,Resource,technology,cluster,R_ID,Zone,CapRes,THERM,VRE,MUST_RUN,STOR,FLEX,HEAT,NACC,TRADER,HYDRO,LDS,ESR_1,MGA,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Flexible_Demand_Energy_Eff,Max_DSM_delay,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Num_VRE_Bins,regional_cost_multiplier,lcoe,wacc_real,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Reg_Cost,Rsv_Cost,Commit
CA_N,CA_N_batteries_1,Batteries,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19019.5,2613.1,46,2613.122,-1,56.81,0,0,-1,-1,0,0,0,0,0,0,6235,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,0.92,0.92,0,0,1,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[260, 260, 260, 6211, 58585, 58625, 59150, 59939, 59939, 60249, 60641, 61795, 61801, 61803, 61993, 61995, 62175, 62564, 62892, 63091, 63420, 63421, 63422, 63727, 63727, 63727, 63727, 63848, 63849, 63930, 64197, 64531, 64743, 64743, 64766, 64908, 65382, 65395, 65409, 65469, 65568, 65570, 65940, 66208, 66270, 66509]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_biomass_1,Biomass,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,250.4,120,688.56,-1,2.09,0,0,-1,-1,0,0,0,0,0,0,150850,0,0,0,6.87,0,0,0,0,0,0,15.99,4.915,3.95,None,0.314,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[10052, 10144, 10288, 10652, 10661, 10748, 10748, 10748, 10748, 10764, 10767, 10772, 10777, 10836, 10837, 50049, 50049, 50110, 50112, 50293, 50560, 50571, 50571, 50632, 50831, 50831, 50831, 50881, 54238, 54517, 54567, 54567, 54567, 54567, 54567, 54626, 54951, 54951, 54951, 55752, 55752, 55752, 55752, 55753, 55753, 55753, 55753, 55766, 55766, 55766, 55880, 55880, 56036, 56036, 56036, 56134, 56134, 56134, 56428, 56428, 56428, 56706, 56707, 56895, 56895, 56895, 56895, 56895, 56895, 56897, 56897, 57100, 57101, 57133, 57133, 57696, 57771, 57876, 57971, 57988, 57988, 57988, 57988, 57988, 57988, 58320, 58379, 58397, 58435, 58435, 58436, 58436, 58437, 58437, 58525, 58960, 58960, 58960, 58960, 58978, 59299, 59299, 59557, 59658, 59952, 59952, 59952, 59952, 59952, 60192, 60220, 60220, 60249, 60918, 62418, 62419, 64141, 64622, 64622, 65517]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_conventional_hydroelectric_1,Conventional Hydroelectric,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7519.1,131,7519.138,-1,57.4,0,0,-1,-1,0,0,0,0,0,0,49259,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.058,0,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,"[217, 218, 218, 219, 220, 220, 221, 222, 222, 222, 223, 223, 224, 224, 231, 231, 235, 235, 235, 235, 236, 239, 239, 239, 240, 240, 242, 242, 248, 249, 249, 250, 250, 254, 255, 255, 265, 265, 266, 266, 266, 267, 267, 268, 268, 268, 268, 269, 269, 270, 270, 272, 272, 275, 275, 277, 279, 279, 285, 287, 287, 321, 322, 322, 380, 380, 381, 381, 382, 382, 382, 409, 412, 415, 417, 419, 425, 425, 427, 430, 430, 431, 431, 432, 435, 435, 435, 435, 437, 437, 437, 439, 439, 439, 439, 441, 441, 441, 442, 442, 443, 443, 443, 445, 445, 445, 445, 445, 445, 445, 450, 450, 451, 451, 454, 454, 455, 682, 6158, 6158, 6612, 7907, 7907, 7907, 50128, 50393, 50393, 50393, 50393, 54555, 54555]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_geothermal_1,Geothermal,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,757.8,24,987.408,-1,31.57,0,0,-1,-1,0,0,0,0,0,0,218925,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.347,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 510, 902, 7368, 7368, 7369, 7369, 50066, 50066, 50964, 50964, 52158, 52158]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35292,2276.9,24,2276.904,-1,94.87,0,0,-1,-1,0,0,0,0,0,0,49259,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.236,0,0.866,0.866,0,0,1,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[104, 437, 437, 437, 438, 438, 438, 446, 446, 446, 446, 446, 446, 448, 448, 448, 448, 448, 448, 448, 448, 6100, 6100, 6100]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3112.8,26,3112.798,0,119.72,0,0,-1,-1,0,0,0,0,0,0,17267,0,0,0,4.76,0,0,0,0,96,2,8.68,2.178,3.312,pacific_naturalgas,0.492,0,1,1,0,0,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,"[7266, 7307, 7527, 7551, 7552, 10034, 10156, 10294, 10342, 10405, 50748, 50849, 52109, 52109, 52109, 54912, 54912, 55084, 55748, 55933, 56026, 56078, 56298, 57564, 57978, 58198]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA_N,CA_N_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8296.9,16,8296.896,0,518.56,0,0,-1,-1,0,0,0,0,0,0,10916,0,0,0,3.77,0,0,0,0,96,2,7.42,0.707,0.427,pacific_naturalgas,0.444,0,1,1,0,0,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,"[260, 260, 55112, 55151, 55151, 55151, 55151, 55182, 55217, 55333, 55393, 55400, 55970, 56467, 56476, 56532]",1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2248.7,26,2248.688,0,86.49,0,0,-1,-1,0,0,0,0,0,0,10999,0,0,0,5.53,0,0,0,0,125,3.5,10.7,1.095,0.777,pacific_naturalgas,0.508,0,1,1,0,0,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,"[7315, 7315, 7315, 7315, 52169, 52169, 52169, 55810, 55810, 55810, 56135, 56135, 56639, 56639, 56803, 56803, 56803, 56803, 57267, 57267, 57267, 57267, 57483, 57483, 57483, 57483]",869.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA_N,CA_N_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2483.5,100,2483.5,0,24.84,0,0,-1,-1,0,0,0,0,0,0,14600,0,0,0,5.53,0,0,0,0,125,3.5,10.95,1.744,2.459,pacific_naturalgas,0.565,0,1,1,0,0,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,"[151, 535, 4256, 4256, 7231, 7231, 7232, 7232, 7266, 7307, 7307, 7307, 7449, 7450, 7450, 7451, 7452, 7452, 7527, 7551, 10156, 10349, 10350, 10350, 10548, 10649, 10650, 50003, 50064, 50131, 50170, 50299, 50493, 50493, 50494, 50494, 50495, 50495, 50537, 50612, 50622, 50622, 50750, 50750, 50751, 50864, 50865, 52081, 52081, 52082, 52082, 52083, 52083, 52085, 52085, 52085, 52085, 52086, 52086, 52086, 52086, 52104, 52104, 52104, 52104, 52107, 52107, 52186, 54410, 54447, 54449, 54449, 54768, 54800, 54800, 55184, 55184, 55499, 55508, 55625, 55626, 55627, 55698, 55698, 55807, 55807, 55811, 55813, 55847, 55851, 55855, 55874, 55963, 56239, 56239, 56298, 56298, 57573, 58190, 58585]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CA_N,CA_N_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.9,1,2.9,0,2.9,0,0,-1,-1,0,0,0,0,0,0,53714,0,0,0,1.1,0,0,0,0,92,13.7,9.21,0,0,pacific_naturalgas,0,0,1,1,0,0,0,0,0,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
