cpa_id,cluster
100931,1
100973,1
101642,1
101746,1
101803,1
101829,1
101869,1
101941,1
101963,1
101974,1
102023,1
102027,1
102032,1
102042,1
192715,1
192716,1
192717,1
192719,1
192783,1
192784,1
192785,1
192786,1
192787,1
192788,1
192801,1
192802,1
192803,1
192804,1
192822,1
192823,1
192824,1
192825,1
192840,1
192841,1
192842,1
192843,1
192904,1
192905,1
192938,1
192939,1
192940,1
192941,1
192942,1
192943,1
192945,1
192946,1
192947,1
192948,1
192949,1
192950,1
192951,1
192954,1
192955,1
192956,1
192957,1
192958,1
192964,1
192965,1
192966,1
192967,1
192972,1
192973,1
192974,1
192975,1
192981,1
192982,1
192983,1
192990,1
192991,1
192992,1
192997,1
192998,1
193812,1
193815,1
193816,1
193817,1
193818,1
193819,1
193820,1
193821,1
193822,1
193842,1
193843,1
193844,1
193845,1
193858,1
193859,1
193885,1
193887,1
193890,1
193891,1
193892,1
193893,1
193894,1
193895,1
193896,1
193897,1
193898,1
193899,1
193918,1
193919,1
193920,1
193921,1
193922,1
193923,1
193924,1
193925,1
193941,1
193942,1
193943,1
193944,1
193945,1
193966,1
193967,1
193968,1
193969,1
193982,1
193984,1
193986,1
193987,1
193992,1
193996,1
193997,1
193998,1
193999,1
194000,1
194001,1
194002,1
194003,1
194004,1
194005,1
194006,1
194007,1
194008,1
194009,1
194010,1
194011,1
194012,1
194013,1
194014,1
194015,1
194018,1
194019,1
194020,1
194021,1
194022,1
194023,1
194024,1
194027,1
194028,1
194029,1
194030,1
194031,1
194032,1
194033,1
194034,1
194035,1
194038,1
194039,1
194040,1
194041,1
194042,1
194043,1
194044,1
194045,1
194046,1
194049,1
194050,1
194051,1
194057,1
194058,1
194059,1
194060,1
194066,1
194067,1
194068,1
194069,1
194076,1
194077,1
194078,1
194079,1
194080,1
194093,1
194094,1
194095,1
194096,1
194099,1
194100,1
194101,1
194102,1
194103,1
194104,1
194105,1
194106,1
194107,1
194108,1
194111,1
194112,1
194113,1
194114,1
194115,1
194116,1
194117,1
194118,1
194119,1
194120,1
194121,1
194122,1
194123,1
194124,1
194125,1
194126,1
194127,1
194128,1
194129,1
194130,1
194131,1
194132,1
194133,1
194134,1
194135,1
194136,1
194137,1
194138,1
194139,1
194140,1
194141,1
194142,1
194143,1
194144,1
194145,1
194146,1
194147,1
194148,1
194149,1
194154,1
194155,1
194156,1
194157,1
194161,1
194162,1
194167,1
194168,1
194172,1
194173,1
194174,1
194175,1
194176,1
194177,1
194182,1
194183,1
194184,1
194185,1
194186,1
194187,1
194188,1
194189,1
194191,1
194193,1
194200,1
194214,1
194215,1
194218,1
194221,1
194224,1
194225,1
194226,1
194227,1
194228,1
194229,1
194230,1
194330,1
194331,1
194332,1
194333,1
194334,1
194335,1
194336,1
194337,1
194338,1
194339,1
194340,1
194341,1
194342,1
194343,1
194344,1
194354,1
194382,1
194383,1
194384,1
194385,1
194388,1
194389,1
194390,1
194395,1
194397,1
194420,1
194435,1
194436,1
194437,1
194438,1
194439,1
194440,1
194441,1
194442,1
194443,1
194444,1
194445,1
194446,1
194455,1
194456,1
194459,1
194465,1
194466,1
194467,1
194468,1
194469,1
194470,1
194478,1
194492,1
194497,1
194507,1
194648,1
194654,1
194659,1
194664,1
194669,1
194673,1
194678,1
194687,1
194710,1
194711,1
194720,1
194721,1
194729,1
194730,1
195052,1
195053,1
195054,1
195055,1
195056,1
195057,1
195058,1
195080,1
195108,1
195109,1
195111,1
195112,1
195115,1
195116,1
195117,1
195122,1
195123,1
195127,1
195128,1
195133,1
195141,1
195142,1
195143,1
195144,1
195145,1
195146,1
195147,1
195148,1
195149,1
195150,1
195151,1
195152,1
195153,1
195155,1
195202,1
195204,1
195206,1
195207,1
195208,1
195209,1
195211,1
195212,1
195213,1
195214,1
195215,1
195216,1
195217,1
195218,1
195219,1
195220,1
195221,1
195222,1
195223,1
195224,1
195225,1
195226,1
195227,1
195228,1
195229,1
195230,1
195231,1
195249,1
195250,1
195268,1
195269,1
195270,1
195271,1
195276,1
195277,1
195281,1
195282,1
195283,1
195284,1
195286,1
195287,1
195292,1
195317,1
195318,1
195319,1
195320,1
195321,1
195322,1
195323,1
195324,1
195325,1
195326,1
195327,1
195328,1
195329,1
195330,1
195331,1
195332,1
195333,1
195334,1
195335,1
195336,1
195342,1
195344,1
195345,1
195348,1
195349,1
195350,1
195351,1
195353,1
195354,1
195355,1
195360,1
195361,1
195362,1
195363,1
195364,1
195365,1
195366,1
195367,1
195368,1
195370,1
195376,1
195377,1
195378,1
195379,1
195380,1
195381,1
195382,1
195383,1
195384,1
195385,1
195386,1
195387,1
195388,1
195389,1
195395,1
195396,1
195397,1
195398,1
195399,1
195400,1
195401,1
195402,1
195403,1
195404,1
195405,1
195406,1
195407,1
195411,1
195412,1
195413,1
195414,1
195415,1
195416,1
195417,1
195418,1
195419,1
195420,1
195421,1
195422,1
195423,1
195424,1
195427,1
195428,1
195429,1
195430,1
195431,1
195432,1
195433,1
195434,1
195435,1
195436,1
195437,1
195438,1
195439,1
195440,1
195441,1
195442,1
195447,1
195448,1
195449,1
195450,1
195451,1
195452,1
195453,1
195454,1
195455,1
195456,1
195458,1
195459,1
195460,1
195461,1
195466,1
195467,1
195468,1
195469,1
195471,1
195472,1
195473,1
195474,1
195475,1
195476,1
195477,1
195478,1
195479,1
195480,1
195481,1
195482,1
195484,1
195485,1
195486,1
195487,1
195512,1
195513,1
195515,1
196212,1
196213,1
196229,1
196247,1
196267,1
196268,1
196285,1
196286,1
196287,1
196304,1
196305,1
196306,1
196383,1
196384,1
196385,1
196386,1
196387,1
196388,1
196389,1
196405,1
196406,1
196407,1
196408,1
196409,1
196410,1
196411,1
196412,1
196413,1
196427,1
196428,1
196429,1
196438,1
196439,1
101383,2
101392,2
101475,2
101517,2
101521,2
101586,2
101609,2
101638,2
101703,2
101761,2
101795,2
101798,2
101804,2
101812,2
101836,2
101874,2
101882,2
101885,2
101900,2
101913,2
101929,2
101953,2
101977,2
102049,2
102054,2
102070,2
102081,2
102088,2
102167,2
102174,2
102188,2
102204,2
102260,2
102273,2
102310,2
102331,2
102367,2
102380,2
102801,2
192768,2
192772,2
192812,2
192813,2
192853,2
192854,2
192857,2
192858,2
192861,2
192864,2
192871,2
192873,2
193010,2
193011,2
193192,2
193193,2
193194,2
193216,2
193838,2
193839,2
193870,2
193882,2
193883,2
193884,2
193886,2
193888,2
193889,2
193963,2
193964,2
193965,2
193978,2
193979,2
193980,2
193981,2
193988,2
193993,2
194097,2
194098,2
194109,2
194110,2
194150,2
194151,2
194152,2
194153,2
194158,2
194160,2
194163,2
194164,2
194165,2
194166,2
194169,2
194170,2
194171,2
194192,2
194194,2
194327,2
194328,2
194329,2
194357,2
194358,2
194359,2
194461,2
194462,2
194463,2
194509,2
194510,2
194511,2
194512,2
194513,2
194516,2
194517,2
194518,2
194519,2
194520,2
194521,2
194522,2
194523,2
194524,2
194525,2
194526,2
194527,2
194528,2
194529,2
194530,2
194532,2
194533,2
194534,2
194535,2
194536,2
194537,2
194538,2
194539,2
194540,2
194541,2
194542,2
194543,2
194544,2
194545,2
194546,2
194547,2
194548,2
194549,2
194550,2
194551,2
194552,2
194553,2
194554,2
194555,2
194556,2
194557,2
194558,2
194559,2
194560,2
194561,2
194562,2
194563,2
194564,2
194565,2
194566,2
194567,2
194568,2
194569,2
194570,2
194571,2
194572,2
194573,2
194574,2
194575,2
194576,2
194577,2
194578,2
194579,2
194581,2
194582,2
194583,2
194584,2
194585,2
194586,2
194587,2
194588,2
194589,2
194590,2
194591,2
194592,2
194593,2
194594,2
194595,2
194596,2
194598,2
194599,2
