Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,73,12442,1166,883,1750,200,1080,1928,5746,1804,15527,62085
,,,,,,,,74,11746,1132,857,1699,194,1049,1873,5572,1752,15120,60674
,,,,,,,,75,11367,1109,839,1664,190,1028,1834,5457,1717,14904,60168
,,,,,,,,76,11259,1107,837,1660,190,1025,1830,5470,1725,15066,60826
,,,,,,,,77,11152,1118,847,1678,192,1035,1850,5555,1752,15536,62851
,,,,,,,,78,11672,1195,905,1793,205,1107,1978,5967,1885,16980,68174
,,,,,,,,79,14563,1378,1043,2068,236,1275,2286,7019,2235,20016,76674
,,,,,,,,80,18021,1521,1151,2281,261,1406,2522,7747,2468,21787,81460
,,,,,,,,81,18367,1567,1187,2351,268,1450,2596,7877,2496,21958,82579
,,,,,,,,82,18010,1589,1203,2384,273,1471,2628,7888,2486,21820,82073
,,,,,,,,83,17851,1597,1209,2396,274,1478,2641,7925,2497,21897,81975
,,,,,,,,84,17278,1586,1202,2380,272,1469,2622,7814,2455,20143,80039
,,,,,,,,85,17367,1579,1195,2368,271,1463,2608,7751,2433,20600,77528
,,,,,,,,86,16754,1563,1182,2343,267,1448,2581,7650,2399,20670,77239
,,,,,,,,87,16373,1542,1167,2314,264,1429,2547,7534,2359,20738,76896
,,,,,,,,88,16682,1555,1177,2333,266,1440,2569,7636,2396,20646,77329
,,,,,,,,89,17501,1599,1211,2399,274,1482,2644,7941,2497,21802,78665
,,,,,,,,90,18791,1640,1242,2462,281,1519,2715,8262,2605,22900,80464
,,,,,,,,91,18629,1612,1221,2418,276,1492,2666,8118,2555,22121,78308
,,,,,,,,92,18873,1580,1196,2369,271,1463,2611,7934,2493,21350,76391
,,,,,,,,93,19932,1592,1206,2389,273,1475,2634,8021,2522,22270,77934
,,,,,,,,94,17013,1447,1095,2170,248,1340,2387,7144,2229,21029,76577
,,,,,,,,95,15012,1334,1010,2001,229,1237,2202,6551,2045,19247,72334
,,,,,,,,96,14161,1262,955,1893,216,1170,2085,6208,1945,17979,68469
,,,,,,,,97,13232,1184,897,1777,202,1097,1957,5826,1828,16800,64874
,,,,,,,,98,12369,1145,867,1718,196,1061,1893,5624,1767,16309,63200
,,,,,,,,99,11938,1118,847,1679,192,1036,1850,5492,1727,16124,62558
,,,,,,,,100,11798,1116,845,1674,192,1033,1846,5507,1734,16248,62923
,,,,,,,,101,11668,1130,856,1696,194,1047,1870,5611,1769,16667,64976
,,,,,,,,102,12242,1212,917,1817,208,1122,2006,6045,1910,18165,70180
