time_index,gen_full,cf
11,ca_n_natural_gas_fired_combined_cycle_1,1.0
12,ca_n_natural_gas_fired_combined_cycle_1,1.0
13,ca_n_natural_gas_fired_combined_cycle_1,1.0
14,ca_n_natural_gas_fired_combined_cycle_1,1.0
15,ca_n_natural_gas_fired_combined_cycle_1,1.0
16,ca_n_natural_gas_fired_combined_cycle_1,1.0
17,ca_n_natural_gas_fired_combined_cycle_1,1.0
18,ca_n_natural_gas_fired_combined_cycle_1,1.0
19,ca_n_natural_gas_fired_combined_cycle_1,1.0
20,ca_n_natural_gas_fired_combined_cycle_1,1.0
21,ca_n_natural_gas_fired_combined_cycle_1,1.0
22,ca_n_natural_gas_fired_combined_cycle_1,1.0
23,ca_n_natural_gas_fired_combined_cycle_1,1.0
24,ca_n_natural_gas_fired_combined_cycle_1,1.0
1,ca_n_natural_gas_fired_combined_cycle_2,1.0
2,ca_n_natural_gas_fired_combined_cycle_2,1.0
3,ca_n_natural_gas_fired_combined_cycle_2,1.0
4,ca_n_natural_gas_fired_combined_cycle_2,1.0
5,ca_n_natural_gas_fired_combined_cycle_2,1.0
6,ca_n_natural_gas_fired_combined_cycle_2,1.0
7,ca_n_natural_gas_fired_combined_cycle_2,1.0
8,ca_n_natural_gas_fired_combined_cycle_2,1.0
9,ca_n_natural_gas_fired_combined_cycle_2,1.0
10,ca_n_natural_gas_fired_combined_cycle_2,1.0
11,ca_n_natural_gas_fired_combined_cycle_2,1.0
12,ca_n_natural_gas_fired_combined_cycle_2,1.0
13,ca_n_natural_gas_fired_combined_cycle_2,1.0
14,ca_n_natural_gas_fired_combined_cycle_2,1.0
15,ca_n_natural_gas_fired_combined_cycle_2,1.0
16,ca_n_natural_gas_fired_combined_cycle_2,1.0
17,ca_n_natural_gas_fired_combined_cycle_2,1.0
18,ca_n_natural_gas_fired_combined_cycle_2,1.0
19,ca_n_natural_gas_fired_combined_cycle_2,1.0
20,ca_n_natural_gas_fired_combined_cycle_2,1.0
21,ca_n_natural_gas_fired_combined_cycle_2,1.0
22,ca_n_natural_gas_fired_combined_cycle_2,1.0
23,ca_n_natural_gas_fired_combined_cycle_2,1.0
24,ca_n_natural_gas_fired_combined_cycle_2,1.0
1,ca_n_natural_gas_fired_combustion_turbine_1,1.0
2,ca_n_natural_gas_fired_combustion_turbine_1,1.0
3,ca_n_natural_gas_fired_combustion_turbine_1,1.0
4,ca_n_natural_gas_fired_combustion_turbine_1,1.0
5,ca_n_natural_gas_fired_combustion_turbine_1,1.0
6,ca_n_natural_gas_fired_combustion_turbine_1,1.0
7,ca_n_natural_gas_fired_combustion_turbine_1,1.0
8,ca_n_natural_gas_fired_combustion_turbine_1,1.0
9,ca_n_natural_gas_fired_combustion_turbine_1,1.0
10,ca_n_natural_gas_fired_combustion_turbine_1,1.0
11,ca_n_natural_gas_fired_combustion_turbine_1,1.0
12,ca_n_natural_gas_fired_combustion_turbine_1,1.0
13,ca_n_natural_gas_fired_combustion_turbine_1,1.0
14,ca_n_natural_gas_fired_combustion_turbine_1,1.0
15,ca_n_natural_gas_fired_combustion_turbine_1,1.0
16,ca_n_natural_gas_fired_combustion_turbine_1,1.0
17,ca_n_natural_gas_fired_combustion_turbine_1,1.0
18,ca_n_natural_gas_fired_combustion_turbine_1,1.0
19,ca_n_natural_gas_fired_combustion_turbine_1,1.0
20,ca_n_natural_gas_fired_combustion_turbine_1,1.0
21,ca_n_natural_gas_fired_combustion_turbine_1,1.0
22,ca_n_natural_gas_fired_combustion_turbine_1,1.0
23,ca_n_natural_gas_fired_combustion_turbine_1,1.0
24,ca_n_natural_gas_fired_combustion_turbine_1,1.0
1,ca_n_natural_gas_fired_combustion_turbine_2,1.0
2,ca_n_natural_gas_fired_combustion_turbine_2,1.0
3,ca_n_natural_gas_fired_combustion_turbine_2,1.0
4,ca_n_natural_gas_fired_combustion_turbine_2,1.0
5,ca_n_natural_gas_fired_combustion_turbine_2,1.0
6,ca_n_natural_gas_fired_combustion_turbine_2,1.0
7,ca_n_natural_gas_fired_combustion_turbine_2,1.0
8,ca_n_natural_gas_fired_combustion_turbine_2,1.0
9,ca_n_natural_gas_fired_combustion_turbine_2,1.0
10,ca_n_natural_gas_fired_combustion_turbine_2,1.0
11,ca_n_natural_gas_fired_combustion_turbine_2,1.0
12,ca_n_natural_gas_fired_combustion_turbine_2,1.0
13,ca_n_natural_gas_fired_combustion_turbine_2,1.0
14,ca_n_natural_gas_fired_combustion_turbine_2,1.0
15,ca_n_natural_gas_fired_combustion_turbine_2,1.0
16,ca_n_natural_gas_fired_combustion_turbine_2,1.0
17,ca_n_natural_gas_fired_combustion_turbine_2,1.0
18,ca_n_natural_gas_fired_combustion_turbine_2,1.0
19,ca_n_natural_gas_fired_combustion_turbine_2,1.0
20,ca_n_natural_gas_fired_combustion_turbine_2,1.0
21,ca_n_natural_gas_fired_combustion_turbine_2,1.0
22,ca_n_natural_gas_fired_combustion_turbine_2,1.0
23,ca_n_natural_gas_fired_combustion_turbine_2,1.0
24,ca_n_natural_gas_fired_combustion_turbine_2,1.0
1,ca_n_natural_gas_steam_turbine_1,1.0
2,ca_n_natural_gas_steam_turbine_1,1.0
3,ca_n_natural_gas_steam_turbine_1,1.0
4,ca_n_natural_gas_steam_turbine_1,1.0
5,ca_n_natural_gas_steam_turbine_1,1.0
6,ca_n_natural_gas_steam_turbine_1,1.0
7,ca_n_natural_gas_steam_turbine_1,1.0
8,ca_n_natural_gas_steam_turbine_1,1.0
9,ca_n_natural_gas_steam_turbine_1,1.0
10,ca_n_natural_gas_steam_turbine_1,1.0
11,ca_n_natural_gas_steam_turbine_1,1.0
12,ca_n_natural_gas_steam_turbine_1,1.0
13,ca_n_natural_gas_steam_turbine_1,1.0
14,ca_n_natural_gas_steam_turbine_1,1.0
15,ca_n_natural_gas_steam_turbine_1,1.0
16,ca_n_natural_gas_steam_turbine_1,1.0
17,ca_n_natural_gas_steam_turbine_1,1.0
18,ca_n_natural_gas_steam_turbine_1,1.0
19,ca_n_natural_gas_steam_turbine_1,1.0
20,ca_n_natural_gas_steam_turbine_1,1.0
21,ca_n_natural_gas_steam_turbine_1,1.0
22,ca_n_natural_gas_steam_turbine_1,1.0
23,ca_n_natural_gas_steam_turbine_1,1.0
24,ca_n_natural_gas_steam_turbine_1,1.0
1,ca_n_onshore_wind_turbine_1,0.109
2,ca_n_onshore_wind_turbine_1,0.059
3,ca_n_onshore_wind_turbine_1,0.04
4,ca_n_onshore_wind_turbine_1,0.043
5,ca_n_onshore_wind_turbine_1,0.027
6,ca_n_onshore_wind_turbine_1,0.025
7,ca_n_onshore_wind_turbine_1,0.001
8,ca_n_onshore_wind_turbine_1,0.002
9,ca_n_onshore_wind_turbine_1,0.002
10,ca_n_onshore_wind_turbine_1,0.001
11,ca_n_onshore_wind_turbine_1,0.066
12,ca_n_onshore_wind_turbine_1,0.024
13,ca_n_onshore_wind_turbine_1,0.007
14,ca_n_onshore_wind_turbine_1,0.003
15,ca_n_onshore_wind_turbine_1,0.02
16,ca_n_onshore_wind_turbine_1,0.011
17,ca_n_onshore_wind_turbine_1,0.001
18,ca_n_onshore_wind_turbine_1,0.052
19,ca_n_onshore_wind_turbine_1,0.038
20,ca_n_onshore_wind_turbine_1,0.065
21,ca_n_onshore_wind_turbine_1,0.006
22,ca_n_onshore_wind_turbine_1,0.003
23,ca_n_onshore_wind_turbine_1,0.003
24,ca_n_onshore_wind_turbine_1,0.026
1,ca_n_other_peaker_1,1.0
2,ca_n_other_peaker_1,1.0
3,ca_n_other_peaker_1,1.0
4,ca_n_other_peaker_1,1.0
5,ca_n_other_peaker_1,1.0
6,ca_n_other_peaker_1,1.0
7,ca_n_other_peaker_1,1.0
8,ca_n_other_peaker_1,1.0
9,ca_n_other_peaker_1,1.0
10,ca_n_other_peaker_1,1.0
11,ca_n_other_peaker_1,1.0
12,ca_n_other_peaker_1,1.0
13,ca_n_other_peaker_1,1.0
14,ca_n_other_peaker_1,1.0
15,ca_n_other_peaker_1,1.0
16,ca_n_other_peaker_1,1.0
17,ca_n_other_peaker_1,1.0
18,ca_n_other_peaker_1,1.0
19,ca_n_other_peaker_1,1.0
20,ca_n_other_peaker_1,1.0
21,ca_n_other_peaker_1,1.0
22,ca_n_other_peaker_1,1.0
23,ca_n_other_peaker_1,1.0
24,ca_n_other_peaker_1,1.0
1,ca_n_small_hydroelectric_1,1.0
2,ca_n_small_hydroelectric_1,1.0
3,ca_n_small_hydroelectric_1,1.0
4,ca_n_small_hydroelectric_1,1.0
5,ca_n_small_hydroelectric_1,1.0
6,ca_n_small_hydroelectric_1,1.0
7,ca_n_small_hydroelectric_1,1.0
8,ca_n_small_hydroelectric_1,1.0
9,ca_n_small_hydroelectric_1,1.0
10,ca_n_small_hydroelectric_1,1.0
11,ca_n_small_hydroelectric_1,1.0
12,ca_n_small_hydroelectric_1,1.0
13,ca_n_small_hydroelectric_1,1.0
14,ca_n_small_hydroelectric_1,1.0
15,ca_n_small_hydroelectric_1,1.0
16,ca_n_small_hydroelectric_1,1.0
17,ca_n_small_hydroelectric_1,1.0
18,ca_n_small_hydroelectric_1,1.0
19,ca_n_small_hydroelectric_1,1.0
20,ca_n_small_hydroelectric_1,1.0
21,ca_n_small_hydroelectric_1,1.0
22,ca_n_small_hydroelectric_1,1.0
23,ca_n_small_hydroelectric_1,1.0
24,ca_n_small_hydroelectric_1,1.0
1,ca_n_solar_photovoltaic_1,0.0
2,ca_n_solar_photovoltaic_1,0.0
3,ca_n_solar_photovoltaic_1,0.0
4,ca_n_solar_photovoltaic_1,0.0
5,ca_n_solar_photovoltaic_1,0.0
6,ca_n_solar_photovoltaic_1,0.0
7,ca_n_solar_photovoltaic_1,0.0
8,ca_n_solar_photovoltaic_1,0.0
9,ca_n_solar_photovoltaic_1,0.289
10,ca_n_solar_photovoltaic_1,0.494
11,ca_n_solar_photovoltaic_1,0.601
12,ca_n_solar_photovoltaic_1,0.666
13,ca_n_solar_photovoltaic_1,0.696
14,ca_n_solar_photovoltaic_1,0.684
15,ca_n_solar_photovoltaic_1,0.636
16,ca_n_solar_photovoltaic_1,0.518
17,ca_n_solar_photovoltaic_1,0.329
18,ca_n_solar_photovoltaic_1,0.0
19,ca_n_solar_photovoltaic_1,0.0
20,ca_n_solar_photovoltaic_1,0.0
21,ca_n_solar_photovoltaic_1,0.0
22,ca_n_solar_photovoltaic_1,0.0
23,ca_n_solar_photovoltaic_1,0.0
24,ca_n_solar_photovoltaic_1,0.0
1,ca_s_batteries_1,1.0
2,ca_s_batteries_1,1.0
3,ca_s_batteries_1,1.0
4,ca_s_batteries_1,1.0
5,ca_s_batteries_1,1.0
6,ca_s_batteries_1,1.0
7,ca_s_batteries_1,1.0
8,ca_s_batteries_1,1.0
9,ca_s_batteries_1,1.0
10,ca_s_batteries_1,1.0
11,ca_s_batteries_1,1.0
12,ca_s_batteries_1,1.0
13,ca_s_batteries_1,1.0
14,ca_s_batteries_1,1.0
15,ca_s_batteries_1,1.0
16,ca_s_batteries_1,1.0
17,ca_s_batteries_1,1.0
18,ca_s_batteries_1,1.0
19,ca_s_batteries_1,1.0
20,ca_s_batteries_1,1.0
21,ca_s_batteries_1,1.0
22,ca_s_batteries_1,1.0
23,ca_s_batteries_1,1.0
24,ca_s_batteries_1,1.0
1,ca_s_biomass_1,1.0
2,ca_s_biomass_1,1.0
3,ca_s_biomass_1,1.0
4,ca_s_biomass_1,1.0
5,ca_s_biomass_1,1.0
6,ca_s_biomass_1,1.0
7,ca_s_biomass_1,1.0
8,ca_s_biomass_1,1.0
9,ca_s_biomass_1,1.0
10,ca_s_biomass_1,1.0
11,ca_s_biomass_1,1.0
12,ca_s_biomass_1,1.0
13,ca_s_biomass_1,1.0
14,ca_s_biomass_1,1.0
15,ca_s_biomass_1,1.0
16,ca_s_biomass_1,1.0
17,ca_s_biomass_1,1.0
18,ca_s_biomass_1,1.0
19,ca_s_biomass_1,1.0
20,ca_s_biomass_1,1.0
21,ca_s_biomass_1,1.0
22,ca_s_biomass_1,1.0
23,ca_s_biomass_1,1.0
24,ca_s_biomass_1,1.0
1,ca_s_conventional_hydroelectric_1,0.183
2,ca_s_conventional_hydroelectric_1,0.183
3,ca_s_conventional_hydroelectric_1,0.182
4,ca_s_conventional_hydroelectric_1,0.182
5,ca_s_conventional_hydroelectric_1,0.182
6,ca_s_conventional_hydroelectric_1,0.182
7,ca_s_conventional_hydroelectric_1,0.182
8,ca_s_conventional_hydroelectric_1,0.182
9,ca_s_conventional_hydroelectric_1,0.182
10,ca_s_conventional_hydroelectric_1,0.181
11,ca_s_conventional_hydroelectric_1,0.181
12,ca_s_conventional_hydroelectric_1,0.181
13,ca_s_conventional_hydroelectric_1,0.181
14,ca_s_conventional_hydroelectric_1,0.181
15,ca_s_conventional_hydroelectric_1,0.181
16,ca_s_conventional_hydroelectric_1,0.181
17,ca_s_conventional_hydroelectric_1,0.181
18,ca_s_conventional_hydroelectric_1,0.18
19,ca_s_conventional_hydroelectric_1,0.18
20,ca_s_conventional_hydroelectric_1,0.18
21,ca_s_conventional_hydroelectric_1,0.18
22,ca_s_conventional_hydroelectric_1,0.18
23,ca_s_conventional_hydroelectric_1,0.18
24,ca_s_conventional_hydroelectric_1,0.18
1,ca_s_geothermal_1,1.0
2,ca_s_geothermal_1,1.0
3,ca_s_geothermal_1,1.0
4,ca_s_geothermal_1,1.0
5,ca_s_geothermal_1,1.0
6,ca_s_geothermal_1,1.0
7,ca_s_geothermal_1,1.0
8,ca_s_geothermal_1,1.0
9,ca_s_geothermal_1,1.0
10,ca_s_geothermal_1,1.0
11,ca_s_geothermal_1,1.0
12,ca_s_geothermal_1,1.0
13,ca_s_geothermal_1,1.0
14,ca_s_geothermal_1,1.0
15,ca_s_geothermal_1,1.0
16,ca_s_geothermal_1,1.0
17,ca_s_geothermal_1,1.0
18,ca_s_geothermal_1,1.0
19,ca_s_geothermal_1,1.0
20,ca_s_geothermal_1,1.0
21,ca_s_geothermal_1,1.0
22,ca_s_geothermal_1,1.0
23,ca_s_geothermal_1,1.0
24,ca_s_geothermal_1,1.0
1,ca_s_hydroelectric_pumped_storage_1,1.0
2,ca_s_hydroelectric_pumped_storage_1,1.0
3,ca_s_hydroelectric_pumped_storage_1,1.0
4,ca_s_hydroelectric_pumped_storage_1,1.0
5,ca_s_hydroelectric_pumped_storage_1,1.0
6,ca_s_hydroelectric_pumped_storage_1,1.0
7,ca_s_hydroelectric_pumped_storage_1,1.0
8,ca_s_hydroelectric_pumped_storage_1,1.0
9,ca_s_hydroelectric_pumped_storage_1,1.0
10,ca_s_hydroelectric_pumped_storage_1,1.0
11,ca_s_hydroelectric_pumped_storage_1,1.0
12,ca_s_hydroelectric_pumped_storage_1,1.0
13,ca_s_hydroelectric_pumped_storage_1,1.0
14,ca_s_hydroelectric_pumped_storage_1,1.0
15,ca_s_hydroelectric_pumped_storage_1,1.0
16,ca_s_hydroelectric_pumped_storage_1,1.0
17,ca_s_hydroelectric_pumped_storage_1,1.0
18,ca_s_hydroelectric_pumped_storage_1,1.0
19,ca_s_hydroelectric_pumped_storage_1,1.0
20,ca_s_hydroelectric_pumped_storage_1,1.0
21,ca_s_hydroelectric_pumped_storage_1,1.0
22,ca_s_hydroelectric_pumped_storage_1,1.0
23,ca_s_hydroelectric_pumped_storage_1,1.0
24,ca_s_hydroelectric_pumped_storage_1,1.0
1,ca_s_natural_gas_fired_combined_cycle_1,1.0
2,ca_s_natural_gas_fired_combined_cycle_1,1.0
3,ca_s_natural_gas_fired_combined_cycle_1,1.0
4,ca_s_natural_gas_fired_combined_cycle_1,1.0
5,ca_s_natural_gas_fired_combined_cycle_1,1.0
6,ca_s_natural_gas_fired_combined_cycle_1,1.0
7,ca_s_natural_gas_fired_combined_cycle_1,1.0
8,ca_s_natural_gas_fired_combined_cycle_1,1.0
9,ca_s_natural_gas_fired_combined_cycle_1,1.0
10,ca_s_natural_gas_fired_combined_cycle_1,1.0
11,ca_s_natural_gas_fired_combined_cycle_1,1.0
12,ca_s_natural_gas_fired_combined_cycle_1,1.0
13,ca_s_natural_gas_fired_combined_cycle_1,1.0
14,ca_s_natural_gas_fired_combined_cycle_1,1.0
15,ca_s_natural_gas_fired_combined_cycle_1,1.0
16,ca_s_natural_gas_fired_combined_cycle_1,1.0
17,ca_s_natural_gas_fired_combined_cycle_1,1.0
